,HF Rep 1,TTA Rep 1,FO Rep 1,TTA+FO Rep 1,HF Rep 2,TTA Rep 2,FO Rep 2,TTA+FO Rep 2,HF Rep 3,TTA Rep 3,FO Rep 3,TTA+FO Rep 3
A0JPQ8,-0.0277967998,-0.0270594235,-0.3002030066,0.2644644037,NA,NA,NA,NA,NA,NA,NA,NA
A1L108,0.0481386393,-0.1690967953,-0.0692033187,0.2354957748,NA,NA,NA,NA,NA,NA,NA,NA
A2VCW9,0.4615707061,-0.7500572739,0.4215763157,0.0808386809,0.4649272631,-0.1667008773,0.3211096844,-0.0663657287,0.3937540823,-0.2393251768,-0.2067686211,0.0594791884
A7VJC2,-0.019566896,-0.1218971684,-0.0671155127,0.2170181238,0.0227086242,0.0179514949,-0.0686570265,-0.0034907955,0.1999909117,0.0883440943,0.0562073646,-0.0731335107
A7VJC2;P04256;Q6URK4,0.2936658772,0.0532100156,-0.2935421529,-0.0533337399,NA,NA,NA,NA,NA,NA,NA,NA
A9UMV8,-0.0535483953,0.0789590533,-0.0569234692,0.0340262478,0.0410262671,-0.0568309877,0.0029697172,-0.0557914174,0.0154293507,-0.1398579669,0.0522007306,-0.0738170377
A9UMV8;P0C0S7,NA,NA,NA,NA,-0.2098372243,0.1134569958,0.4665244279,-0.3054612041,NA,NA,NA,NA
B0BN93,0.0055282924,0.0462658885,-0.1580272153,0.0109022652,-0.235274093,-0.152115903,0.2409092493,0.1111789942,0.071420852,0.1741193589,-0.1403469645,0.040943684
B0BNA5,0.2461735023,-0.6908962234,-0.0803437293,0.5745540557,NA,NA,NA,NA,NA,NA,NA,NA
B0BNC9,0.471875814,0.5664259417,0.1403550607,-0.9869140657,0.380020444,-1.4131803545,0.2443289577,0.2263177563,0.2025754931,0.3291617656,-2.434812294,0.3723929657
B0BNE5,0.1969399882,-0.0517838658,0.104384983,-0.3737253427,0.174120226,-0.0390032709,-0.2262169373,-0.1388324207,0.1604522293,-0.0614522746,0.0900570261,-0.2064572095
B0BNM1,-0.063061864,-0.247283992,0.1198801164,-0.254580915,NA,NA,NA,NA,0.3083423674,-0.0560933855,-0.1224179097,-0.3464822267
B0BNN3,0.4907954365,-0.4843301454,0.2048110543,-0.2520236617,0.1740446866,-0.2166057436,0.7433191995,-0.4827050964,-0.0083417691,-0.1552525162,0.4464100308,-0.1917678129
B0K020,0.1756507683,0.227707111,-0.2277199953,-0.0390890028,0.0296015314,0.0376306044,-0.0612785765,-0.1184211266,-0.0645489931,0.1677555806,-0.043784607,0.0028041553
B2GUZ5;Q3T1K5,-0.029932073,-0.3173602769,0.0301329319,0.1137922454,NA,NA,NA,NA,NA,NA,NA,NA
B2GV24,0.0835165921,-0.5484368125,0.2363137052,0.234141361,NA,NA,NA,NA,NA,NA,NA,NA
B2RYW9,0.3182514993,-0.2726200654,0.2274461416,-0.3826650211,0.4705750679,-0.4076549384,0.1097165514,-0.150255317,0.5915175074,-0.1170140207,-0.1190735933,-0.217225688
B2RZ37,NA,NA,NA,NA,-0.2099482667,0.4779263551,-0.3921370171,-0.0278533638,-0.4035822403,0.2937827934,0.3761486282,-0.3266275692
B2RZ78,0.0949005058,-0.126218804,-0.0090241795,-0.0088164945,NA,NA,NA,NA,0.1388381926,-0.004373493,0.1289366641,-0.2756491019
B3DMA2,-0.7631375134,0.7119586428,-0.4144574968,0.6945464092,-0.8855385808,0.8323987083,-0.3800920884,0.5092862756,-0.6841983089,0.5570712355,0.0006010085,0.512621788
B4F777,NA,NA,NA,NA,0.3167428981,-0.0066318314,-0.1348612003,-0.2652557398,0.3399006811,0.1025151345,-0.3247300476,-0.1084194038
B5DEH2,0.0440782784,-0.0994643477,0.1554175734,-0.1751769961,0.0779396474,0.2704559636,-0.2573895784,-0.0560061577,NA,NA,NA,NA
B5DFC8,0.2105171299,-0.0317744178,-0.0540167987,0.0817193538,-0.0199078747,0.0170746239,0.0566698445,-0.0221136622,NA,NA,NA,NA
D3Z9R8,0.2386308477,-0.207921874,0.0638262868,-0.1397208548,0.3165935429,-0.0448282286,-0.1902057256,-0.102364366,NA,NA,NA,NA
D3ZAF6,0.0595192935,0.30103905,-0.1859164057,-0.222793685,0.1904748922,-0.232699737,-0.1006251236,0.0484237285,0.1526292415,0.0638609917,-0.1447116845,-0.0601160153
D3ZHV2,NA,NA,NA,NA,NA,NA,NA,NA,-0.1128197733,0.1999240109,0.0144569859,-0.0869161058
D3ZTX0,NA,NA,NA,NA,0.0819967465,-0.0981354993,0.2593766428,-0.1382247268,NA,NA,NA,NA
D3ZW55,0.0357353471,-0.1564728501,-0.0390883564,0.1107760718,-0.0984410138,0.113241051,-0.1940269502,0.0793777518,NA,NA,NA,NA
D4A7N1,0.3239679982,-1.3829122703,0.6147054984,1.9176042824,-0.9954633134,0.6654526352,-0.5832044251,0.7703447941,NA,NA,NA,NA
D4AAT7,-0.1153854157,-0.0079997642,0.0115728899,0.3479949577,NA,NA,NA,NA,NA,NA,NA,NA
D4AAZ6,-0.1214360652,0.03599149,-0.1395086653,0.0854741976,NA,NA,NA,NA,NA,NA,NA,NA
D4AE41,NA,NA,NA,NA,NA,NA,NA,NA,0.3258991036,0.0450649367,-0.1135337687,-0.2893280176
F1LMZ8,0.0948591528,0.0269481891,-0.0771309172,0.1039819484,0.1301888937,-0.0494040929,-0.0658601947,-0.0538231981,-0.0648231419,0.0362906537,0.0325426647,-0.045986998
O08557,-0.0027349915,-0.0316803567,0.2560548067,-0.1740279267,-0.0596113135,0.0737282941,0.0505531227,0.0703621653,-0.0540546231,-0.160831305,0.0801194631,0.1547632607
O09171,0.7401240374,0.2639170635,-0.2379657454,-0.6504941463,0.3124018952,-0.4691790279,0.0699768115,0.109561084,0.5908172236,-0.3381693773,-0.4160384694,0.0786362929
O09171;Q68FT5,0.6525117924,0.1844091726,-0.0937802285,-0.6869854281,0.2796374179,-0.488169472,-0.0922661226,0.037174478,0.7455141001,-0.3736400641,-0.254887747,0.0177309539
O35077,-0.448030894,0.7824648078,-0.3877894684,0.1628410685,-0.2854314654,0.4444986044,-0.6615296632,0.3492151253,-0.2577762082,0.2970637376,-0.4248290465,0.2774531224
O35078,0.862455755,-0.5899037542,0.4848105649,-1.1978818644,NA,NA,NA,NA,NA,NA,NA,NA
O35094,0.0937149129,0.0032351544,0.1921766855,-0.1445571368,7.30326589604147E-005,0.0725510364,0.1324485682,-0.0057028258,0.2091703384,-0.0182213079,0.0522578072,-0.1751487105
O35142,-0.0914589773,0.0085871322,0.0060609533,-0.078166782,0.0342398024,0.0450546047,-0.1195173459,0.0366845634,NA,NA,NA,NA
O35244,0.2248326446,-0.3433548874,0.061164178,-0.0456715665,0.0972269119,-0.1379548598,0.1726079213,-0.0894616201,0.2381243737,-0.16822662,0.3347674784,-0.3268534334
O35303,0.2643857733,-0.2038820738,-0.0602655886,-0.1054755968,NA,NA,NA,NA,NA,NA,NA,NA
O35331,NA,NA,NA,NA,-0.2308836358,0.2110350276,-0.1770589232,0.2096967932,-0.3268074432,0.2525453616,0.0558285231,-0.0789780947
O35353,NA,NA,NA,NA,NA,NA,NA,NA,-0.03756329,0.0693099601,-0.0228780011,-0.0253033125
O35509,0.0562857499,0.0670634396,0.093479626,-0.2085203392,NA,NA,NA,NA,NA,NA,NA,NA
O35532,0.2946027004,-0.6633903062,0.6267444643,-0.2579568585,NA,NA,NA,NA,0.2296116063,0.2070332894,-0.1515141579,-0.2851307377
O35547,-0.0274474584,0.3623858854,-0.5382100226,-0.0311756341,-0.0530575652,0.770722028,-0.4889717113,-0.0132814526,NA,NA,NA,NA
O35567,0.0915695899,-0.0075777565,-0.1078613008,-0.0087613646,NA,NA,NA,NA,NA,NA,NA,NA
O35763,0.2822344853,-0.2705402362,-0.0250721133,0.0524453794,0.156912484,0.0027971891,0.1476115248,-0.3031925642,-0.0411151506,0.006582266,0.0741437915,-0.0484549383
O35783,0.0072887904,-0.2139933341,0.1125896394,0.0377075305,NA,NA,NA,NA,NA,NA,NA,NA
O35796,-0.192156295,-0.1277877463,0.0168111035,0.1124193805,-0.1800567254,0.0225281152,0.2262678576,-0.0764790946,-0.1998093582,0.3079465977,-0.027751852,0.0249934687
O35814,0.169231338,0.0131017301,-0.1257596211,-0.035980563,-0.0107481939,0.0114476061,-0.0630315025,-0.0169975834,0.0836547555,0.0685064031,-0.0785778255,-0.0881851229
O35824,-0.2178131445,0.2266764958,-0.1426278532,0.2343209812,NA,NA,NA,NA,NA,NA,NA,NA
O35913,-0.0569072083,-0.6229086399,0.4713863585,-0.0443626358,-0.24406478,-0.278233495,0.4049491767,-0.0008003419,-0.0558403867,-0.7448333027,0.1763053986,0.2698725628
