"","WT-DIL100-A00","WT-DIL100-A01","WT-DIL100-A02","WT-DIL100-A03","WT-DIL100-A04","WT-DIL100-A05","WT-DIL100-A06","WT-DIL100-A07","WT-DIL100-A08","WT-DIL100-A09","WT-DIL100-A10","WT-DIL100-A11","WT-DIL100-A12","WT-DIL100-A13","WT-DIL100-A14","WT-DIL100-A15","WT-DIL100-A16","WT-DIL100-A17","WT-DIL100-A18","WT-DIL100-A19","WT-DIL100-B00","WT-DIL100-B01","WT-DIL100-B02","WT-DIL100-B03","WT-DIL100-B04","WT-DIL100-B05","WT-DIL100-B06","WT-DIL100-B07","WT-DIL100-B08","WT-DIL100-B09","WT-DIL100-B10","WT-DIL100-B11","WT-DIL100-B12","WT-DIL100-B13","WT-DIL100-B14","WT-DIL100-B15","WT-DIL100-B16","WT-DIL100-B17","WT-DIL100-B18","WT-DIL100-B19","WT-DIL100-C00","WT-DIL100-C01","WT-DIL100-C02","WT-DIL100-C03","WT-DIL100-C04","WT-DIL100-C05","WT-DIL100-C06","WT-DIL100-C07","WT-DIL100-C08","WT-DIL100-C09","WT-DIL100-C10","WT-DIL100-C11","WT-DIL100-C12","WT-DIL100-C13","WT-DIL100-C14","WT-DIL100-C15","WT-DIL100-C16","WT-DIL100-C17","WT-DIL100-C18","WT-DIL100-C19","WT-DIL100-D00","WT-DIL100-D01","WT-DIL100-D02","WT-DIL100-D03","WT-DIL100-D04","WT-DIL100-D05","WT-DIL100-D06","WT-DIL100-D07","WT-DIL100-D08","WT-DIL100-D09","WT-DIL100-D10","WT-DIL100-D11","WT-DIL100-D12","WT-DIL100-D13","WT-DIL100-D14","WT-DIL100-D15","WT-DIL100-D16","WT-DIL100-D17","WT-DIL100-D18","WT-DIL100-D19"
"2-Propyn-1-ol",0.102771462819712,-0.0600528612023972,-0.0331034417990921,-0.21684760618429,-0.0234532807200853,-0.0667359080711485,-0.242176116062716,-0.153933096413127,-0.163545384453197,-0.388310417315296,-0.180794802809213,-0.444133627406528,-0.184361301359944,-0.429438151012397,-0.219885169666647,-0.267327866457503,-0.453050825215575,-0.382635155226652,-0.264397836104074,-0.103967567128613,-0.035563344459586,-0.306838758764423,-0.203211485409255,-0.169881452985818,-0.0957494055418611,-0.111854867162547,-0.200472886226137,-0.160016883231242,-0.14790693898191,-0.353049179075549,-0.173107275586734,-0.415965513048528,-0.242151881494307,-0.173092280520995,-0.416481464133403,-0.302124945284294,-0.20359050564212,-0.29655754372941,-0.472037743014821,-0.215118024306619,-0.0368772692412858,0.260611193673981,0.0339930410731526,-0.0145833231444374,0.0080971383708679,-0.23092419271673,-0.158646988897626,-0.104289446361872,-0.132022779002977,-0.185659377752668,-0.189483778190848,-0.328956384877683,-0.16863994368741,-0.127493487122928,-0.297435256728843,-0.472251742266151,-0.147415221145522,-0.330785035087569,-0.29808939468896,-0.089426204538837,0.141125206694699,0.0623033576103076,-0.0171004970220672,-0.0917004137746229,-0.212099090352211,-0.20203466546196,-0.0720155107134595,-0.232380328749864,-0.161450068672568,-0.0931332173311095,-0.260361686983837,-0.176074891487172,-0.00118733359076373,-0.114332675478995,-0.130119778129366,-0.105178078648064,-0.323392891244279,-0.181109474699491,-0.125576950292025,-0.391709332130816
"Acetone",3.05232150889114,2.92115688827459,2.99844379800376,2.98200742535038,2.9977847788905,2.90885346131025,2.9540582071904,2.95643959384266,2.92717399474743,2.7514139453665,2.83394933944979,2.78755473127867,2.84363828845146,2.80188835917337,2.66933855750702,2.88621907704357,2.76020539978885,2.76930603352625,2.83135688040627,2.9001662323784,3.03124042750515,2.84347260548974,2.91957245598526,2.93845554673926,2.88720840866332,2.82531174565261,2.94906055417441,2.88216523301744,2.9631806038044,2.8479883863082,2.83858069783583,2.77786389829484,2.80809585376611,2.8285142230121,2.82450747492866,2.88049175039221,2.88505274137739,2.82153112748346,2.93548566670207,2.91371636471015,3.16722544453298,3.14450909368796,3.10497645616253,3.04767950658159,3.04629179417123,2.98423651263012,2.99501234434983,3.02561039193694,2.90604814592567,2.92176604224811,2.95815977587546,2.87985116861078,2.9636797207678,2.93705280417644,2.96287890580118,2.8682649833839,2.85121184304654,2.94579811807246,2.92654149884349,2.96387436022019,3.1390029776614,3.08984004497448,3.10372595246459,3.05196221859931,3.10197334869808,3.00265469366452,3.0386422485711,2.88341737908295,2.94307136084568,2.97978941709384,2.89257330690091,2.90678257306788,2.87531661546791,2.99243169060135,2.92529045932272,2.83345994348129,2.98832659695367,2.88350481576678,2.97602727080353,2.82224742207235
"Aminoacetaldehyde",-0.252181194749662,-0.189374313629534,-0.24501149352796,-0.35719610669217,-0.247081415229202,-0.116291266526172,-0.404646943854466,-0.524129866385517,-0.24492121502888,-0.355532196406651,-0.49948331166267,-0.336585579228041,-0.39374876392109,-0.23019651893391,-0.613066342466905,-0.535944174090883,-0.711807163240382,-0.633164955509868,-0.653138998922019,-0.817663381971972,-0.285532010148458,-0.204390669644576,-0.560466235390871,-0.0226481876907023,-0.213519264293765,-0.550573102276646,-0.34857671512982,-0.317237977401414,-0.233830024665462,-0.332433342381925,-0.218572624728591,-0.599537532490958,-0.438866773817001,-0.352760556126702,-0.558775346598525,-0.444689274351127,-0.56833250119298,-0.496819433439077,-0.445657544475733,-0.616003232488715,-0.140305502001523,-0.277040306209704,-0.421604169882686,-0.219161159551598,-0.265755372634223,-0.267990086843088,-0.379111961662961,-0.418073848544861,-0.444934575555674,-0.552188415171496,-0.558620426861085,-0.483976963236257,-0.453668703160337,-0.279873706446713,-0.415378844374695,-0.90259381537941,-0.438352666046326,-0.38928672088598,-0.516934395501046,-0.770208754353616,-0.120885239523105,-0.231906224335622,-0.355463988470346,-0.259403491104726,-0.568107759830735,-0.493078731473382,-0.42367117534967,-0.222914932675007,-0.395492508881143,-0.446939519741804,-0.616352919868703,-0.40986190613749,-0.149951122935727,-0.27048335529471,-0.429040327077468,-0.622643390851106,-0.570054776345238,-0.743695379154854,-0.532956652015855,-0.581231128952476
"Acetate",4.09442396436823,4.03447245133926,4.05395923368873,4.0885068878457,4.1004858726441,4.13958422176188,3.94784051049804,3.91516210506274,3.95279286073894,3.86585893615427,3.93559688078458,3.83835717965172,3.88357596755423,3.91795050562715,3.89555117183662,3.88128393947245,3.77186266653662,3.81658299167309,3.92008625706657,3.9091892005655,3.99866908544846,4.02539517692216,3.90366038181236,4.00953831705729,4.07652250204259,3.98373490110147,3.97369179859841,3.95817267761008,4.00056413515152,3.96618297593789,4.01112147294903,3.86223278568226,3.94280716315573,3.90309424708972,3.77222895168463,3.90513796675576,3.89761561911633,3.96010362088616,3.9618971799879,3.85745966239127,4.08528489224648,4.12173052052705,4.05499275016579,3.99473765506985,4.08743169038883,4.01476356204246,4.03628031323329,4.02455583650434,3.97214001959114,4.01614231811111,3.89445398417532,3.950901421042,3.99832116714371,3.93511339453813,3.94813921648847,3.90784839778297,3.92515144057345,3.8948820929712,3.95987649925588,3.91690136605134,4.12971663269166,4.0892262144129,4.06795426983076,4.08224896657655,4.02555588016251,4.02984334918632,3.90497512162028,3.94154445580872,3.95353592189638,4.01265807917335,3.87814499706974,3.92021239108946,4.00088985936349,3.91535845690032,3.83784733119525,3.9154090809711,3.96854852270732,3.85633046321327,3.93642764289978,3.83825187536997
"Propan-2-ol",1.56925662499411,1.72542519063823,1.68721525029403,1.53722493828833,1.65961686316687,1.41871568448273,1.71878906803788,1.61302367271687,1.60268075721184,1.43046732800243,1.38676596363454,1.14705148988916,1.44740226614589,1.43295940727611,1.45741159897371,1.42744910301566,1.4372108471888,1.4116718463255,1.42183538953874,1.55877954874385,1.58738313055227,1.54607648237782,1.47557615358012,1.59295336665069,1.55230418319514,1.12319179578582,1.45103634776507,1.54310738529077,1.53226219882524,1.42847079531694,1.48608015397075,1.070396303178,1.45429178617646,1.45045561840357,1.40622051855091,1.53581020614579,1.50488189420197,1.5634939751247,1.51258899559376,1.53696889189855,1.51750647449948,1.76087348110719,1.83003200206682,1.71480534441319,1.70525202724071,1.74469658527907,1.60990608630001,1.5324548077494,1.53579150298009,1.60359098880208,1.62075542557047,1.501124940388,1.55097919698921,1.54595181910962,1.55222683334058,1.61598821113572,1.67938506211871,1.62618271293323,1.50650570818004,1.50052260893483,1.71166465814386,1.78616157650429,1.62298922261523,1.70257833296841,1.86839082750816,1.70872571521532,1.70414390061477,1.66252212059512,1.73950064145508,1.71005178728274,1.57697855648846,1.57678396620718,1.48499077735102,1.58201926371124,1.51684341140672,1.61790068528473,1.51472818187751,1.46240412710333,1.57790719118035,1.80894286433977
"Nitrate",1.01821435274478,1.05635663091291,1.16802986016555,1.20745553979277,1.06906598200636,1.18398090233795,1.08651334916404,1.07637931758962,0.980289025990624,1.06281371257261,0.920433562048173,0.660761650396672,0.936607637391793,0.995741404274014,1.00091223211442,0.859907928819792,1.06170771913352,0.94747067623473,0.884961491733783,0.873608020895524,1.04999938653872,1.0946603637225,1.00488222137975,1.24199264344182,1.18952789461582,0.972878786639594,0.97556266776124,0.94325447117971,1.07820613509096,1.07536870613268,0.967856901872109,0.648062855113926,1,0.851620528838954,0.909267498246773,1.02203815398638,0.785608178694607,0.954428228179188,1.04112659082146,0.913948613054359,1.31557173559836,1.14170916712559,1.11870915046365,1.15265306428825,1.1912432724605,1.10398822483154,1.16189987559138,1.06134331416486,1.01249457436725,1.17621978240351,0.935083236333005,1.00546963538632,1.03886861377917,0.97466676456259,1.04543834065098,1.01578911317008,0.955573837485396,1.01729456146785,0.942965098944111,0.924677025446918,1.24172748907794,1.20503748598255,1.09431303686603,1.18047950062936,1.06800882884052,1.17479544990027,0.951893468683634,1.0264812098988,1.06061800575584,1.04327881903225,0.872470022139428,0.891600856113289,0.943640259359324,1.04130150224181,0.845258698864656,0.927188203884066,1.04268112639207,1.10056480373824,0.947188454857846,0.91684256507607
"3-Butyn-1-al",0.0964774647398237,0.0747166950311939,0.157600051905554,-0.032866949603843,0.140656612188705,0.376115923693492,-0.054017215728404,0.143052838891691,0.0622819316017278,0.0803985288678,0.0664782271284299,-0.137329837601698,-0.350907161859128,-0.222598608994494,-0.164971683821394,-0.297936216813374,-0.0534932016221674,-0.378678769802161,-0.213951370260094,-0.106038917148307,0.122051323487565,0.0815118163252517,0.141101746152822,0.357237566996558,-0.0332690996173017,0.268992724438128,0.273773191187521,0.198969108932902,0.0339360844616383,0.110951788128846,0.110410931798281,0.0620717614561901,-0.227721110599681,-0.149852095246105,-0.293909411966137,-0.424399059462823,-0.162757629328409,-0.141447796286196,-0.0871258023419301,-0.312136054353084,0.337116548463724,0.200036877740112,0.0469886598486386,0.188398940154725,0.272476659973524,0.227559281236076,0.273093754326664,0.204251594412435,0.18131517528432,0.0336356532318121,-0.0762805009137431,-0.0124643151907584,0.100163098981472,0.0455285951706959,-0.0814386092154535,0,-0.154435648823293,-0.104428005554603,-0.059759216825217,-0.239805352422136,0.216885270085013,0.0451504101690929,0.169799073362899,0.319626257178975,0.183271996550737,0.336214380855074,0.198749468268154,0.194190877984088,-0.0397868135776669,0.322570895728116,0.017725304647195,0.0380562262620749,0.227300991354149,-0.0883112358886606,-0.306274384789337,-0.135295072772294,-0.033807905042762,-0.0662911525248706,-0.174111693590328,-0.492255011171601
"3-Butyn-1-ol",-0.580818311039531,-0.517947899610416,-0.652929202094596,-0.5177112642507,-0.603835234051646,-1.03688243031175,-0.783878023345753,-0.679662617732104,-0.562315318900163,-0.865047661779398,-0.648991687140612,-0.706459266318236,-0.802298584854347,-0.770072525356541,-0.668794091524626,-0.71227370304614,-0.762723719798366,-0.752752389977276,-0.667825536077055,-0.640589792223286,-0.324222795104561,-0.577663928460971,-0.550799485609396,-0.66841894793833,-0.453035018115658,-0.661015398009678,-0.688436692433886,-0.679692728832034,-0.444516179374686,-0.98884764521314,-0.878143589362534,-0.83400278612798,-0.90582983371538,-0.852503571807716,-0.922256823475411,-0.832039895655027,-0.888515048328513,-0.869761606101935,-0.935021612576394,-0.870285164313545,-0.554264673222923,-0.592441700494236,-0.640053003230429,-1.03973775692723,-0.525482885451503,-0.437862650482909,-0.723148246567735,-0.784910511759795,-0.816310017527776,-0.578804271182669,-0.66160237267696,-0.819209707879843,-0.785298241629592,-0.752408625576608,-0.815698303793379,-0.926851951729191,-0.81876443241919,-0.752475458651254,-0.673468128457726,-0.832603692557397,-0.623417567791963,-0.653625691538204,-0.602349730337011,-0.591748604150158,-0.533130003212412,-0.508363750138772,-0.786691172228076,-0.604394708369718,-0.697039549663893,-0.863763437377992,-0.813258786571947,-0.910784511713011,-0.71882531202764,-1.0172350738777,-0.705529762575752,-0.769829467998379,-0.639728304152049,-0.724153932388731,-0.944820440643198,-0.610913475836217
"Acrylamide",3.42796483054029,3.36870634884881,3.42148422238176,3.4347202055918,3.4253196864889,3.50445121400534,3.21052988757858,3.22644821294929,3.31924314157443,3.25808737966381,3.18344347203694,3.11605052497266,3.18743271846896,3.16079017166801,3.18517112395439,3.100614805874,2.96485468980709,3.03536447220019,3.1377533931774,2.90089702650303,3.40136163534256,3.38511158583625,3.22588140741633,3.3138576878477,3.48471143109061,3.35637886045507,3.3173083602075,3.35797075076856,3.33861350690088,3.28791284302745,3.31887013875945,3.1680357828715,3.18315692033538,3.09666064876408,3.07097219477894,3.126084655998,2.95327395855976,3.1061893196039,3.03848406184765,2.90794037209772,3.46640842034571,3.45839614881966,3.35785878559095,3.29330467100996,3.46114765235999,3.26546022833069,3.17983382616846,3.39627716106698,3.17431648612724,3.28875302974394,3.18362512457269,3.14674519886758,3.23124322468362,3.14991970100389,3.0826162131239,3.03931606863941,3.03087690024758,3.02592879702556,3.03856020590517,2.94014795745275,3.43597632833121,3.34271651218784,3.39944141413472,3.36180733219778,3.42730728388034,3.37998519647713,3.22422935059535,3.37121213708013,3.21388563999126,3.26212625923324,3.14643296245358,3.13033812605017,3.25940218863936,3.13542020924944,2.95847017698615,2.98136611449889,3.02884015385283,2.96160070353092,2.88838328161651,2.75587833324851
"Propenoate",3.64467906765216,3.59849433125078,3.62654402564577,3.66503966395647,3.6168977898676,3.70807173283759,3.51258154809132,3.45095615933791,3.50783675035998,3.48354519495195,3.51639803840053,3.38955079004047,3.5255510278424,3.54606898080851,3.50736338470445,3.52546516781073,3.44635009729198,3.5045233332893,3.64560197721631,3.51737310865349,3.62868000395279,3.61068412530308,3.52409709801067,3.54655347894001,3.64790782059836,3.52898952433728,3.595798043061,3.55886322125873,3.62775500038854,3.55393282676473,3.59445458519752,3.36378007761517,3.55868047872889,3.52430898439033,3.41177251500897,3.53792566429722,3.52958568678128,3.61304375584033,3.5740688770378,3.56221632576951,3.6129429962733,3.64920948243537,3.61114342767296,3.61480213820352,3.663819486322,3.5700792959101,3.50091066454293,3.60075687586202,3.51116876151283,3.53615625974741,3.46394816482483,3.55409151787278,3.59957493997861,3.57429437489082,3.51582479143051,3.51701514700727,3.59015121308726,3.48933002207172,3.53388328299108,3.55510143771335,3.68730568190712,3.63393714411323,3.60005693196854,3.64892212894023,3.60803502167233,3.64211275144667,3.46259659359695,3.59778702772675,3.49630805745543,3.56166210814666,3.44252612246036,3.48678895300875,3.55099498421548,3.5561940206254,3.47848786482452,3.50228687817205,3.56200181281662,3.53057281843016,3.53899715310602,3.47784454295133
